# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
3.42857e-05     	T               	2.85412135e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00801109e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
3.57143e-05     	p               	9.93761170e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.23700000e-01 1.00000000e-01 1.00000000e-01)	0
3.57143e-05     	U               	(-1.48850848e+00 1.65431325e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.22886943e+01 5.53185933e-15 8.29778900e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.57143e-05     	T               	2.85412439e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00800042e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
3.71429e-05     	p               	9.93515471e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.87100000e-01 1.00000000e-01 1.00000000e-01)	1
3.71429e-05     	U               	(-1.54893373e+00 1.65525020e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.41196896e+01 5.31539820e-15 7.97309730e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.71429e-05     	T               	2.85412572e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00800156e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
3.85714e-05     	p               	9.93270130e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.86700000e-01 1.00000000e-01 1.00000000e-01)	1
3.85714e-05     	U               	(-1.60939589e+00 1.65536322e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.04476426e+01 5.09370078e-15 7.64055117e-15)	(4.87300000e-01 1.00000000e-01 1.00000000e-01)	1
3.85714e-05     	T               	2.85412779e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00799966e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
4e-05           	p               	9.93024975e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.88100000e-01 1.00000000e-01 1.00000000e-01)	1
4e-05           	U               	(-1.66987960e+00 1.65507402e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.22197368e+01 5.11172758e-15 7.66759137e-15)	(4.87300000e-01 1.00000000e-01 1.00000000e-01)	1
4e-05           	T               	2.85413223e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00799184e+02	(5.02100000e-01 1.00000000e-01 1.00000000e-01)	2
4.14286e-05     	p               	9.92779920e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.40700000e-01 1.00000000e-01 1.00000000e-01)	0
